Season,Round,Team A,Team B,Team A SRS,Team B SRS,Team A ORtg,Team B ORtg,Team A DRtg,Team B DRtg,Winner,Team A Age,Team B Age,Team A W,Team B W,Team A L,Team B L,Team A PW,Team B PW,Team A PL,Team B PL,Team A MOV,Team B MOV,Team A SOS,Team B SOS,Team A NRtg,Team B NRtg,Team A Pace,Team B Pace,Team A FTr,Team B FTr,Team A 3PAr,Team B 3PAr,Team A TS%,Team B TS%
2012,Conference Semifinals,San Antonio Spurs,Los Angeles Clippers,7.28,2.82,110.9,108.5,103.2,105.7,San Antonio Spurs,27.5,27.3,50,40,16,26,48,39,18,27,7.17,2.56,0.11,0.26,7.7,2.8,92.9,89.2,0.261,0.287,0.257,0.269,0.562,0.533
2012,Conference Finals,Miami Heat,Boston Celtics,5.72,2.26,106.6,101.0,100.2,98.2,Miami Heat,28.3,29.3,46,39,20,27,47,39,19,27,5.98,2.52,-0.27,-0.26,6.4,2.8,91.2,90.4,0.307,0.257,0.198,0.194,0.549,0.535
2012,Conference Finals,Oklahoma City Thunder,San Antonio Spurs,6.44,7.28,109.8,110.9,103.2,103.2,Oklahoma City Thunder,25.1,27.5,47,50,19,16,46,48,20,18,6.12,7.17,0.32,0.11,6.6,7.7,93.0,92.9,0.334,0.261,0.252,0.257,0.567,0.562
2012,NBA Finals,Miami Heat,Oklahoma City Thunder,5.72,6.44,106.6,109.8,100.2,103.2,Miami Heat,28.3,25.1,46,47,20,19,47,46,19,20,5.98,6.12,-0.27,0.32,6.4,6.6,91.2,93.0,0.307,0.334,0.198,0.252,0.549,0.567
2013,First Round,Chicago Bulls,Brooklyn Nets,-0.02,1.25,103.5,108.2,103.2,106.2,Chicago Bulls,28.0,28.6,45,49,37,33,42,46,40,36,0.32,1.78,-0.33,-0.53,0.3,2.0,89.3,88.8,0.259,0.299,0.189,0.269,0.512,0.536
2013,First Round,Indiana Pacers,Atlanta Hawks,3.34,-0.08,104.3,104.8,99.8,104.4,Indiana Pacers,25.7,27.1,49,44,32,38,52,42,29,40,4.02,0.4,-0.69,-0.48,4.5,0.4,90.2,92.6,0.293,0.244,0.245,0.286,0.521,0.546
2013,First Round,Miami Heat,Milwaukee Bucks,7.03,-1.83,112.3,103.6,103.7,105.2,Miami Heat,30.3,26.4,66,38,16,44,62,37,20,45,7.87,-1.5,-0.84,-0.33,8.6,-1.6,90.7,94.7,0.297,0.236,0.285,0.232,0.588,0.51
2013,First Round,New York Knicks,Boston Celtics,3.73,-0.62,111.1,103.1,106.3,103.3,New York Knicks,30.2,29.1,54,41,28,40,53,40,29,41,4.23,-0.22,-0.5,-0.4,4.8,-0.2,89.8,91.7,0.258,0.263,0.354,0.215,0.55,0.542
2013,First Round,Golden State Warriors,Denver Nuggets,1.32,5.37,106.4,110.4,105.5,105.1,Golden State Warriors,25.3,26.1,47,57,35,25,44,55,38,27,0.89,5.09,0.42,0.28,0.9,5.3,94.5,95.1,0.255,0.308,0.239,0.217,0.545,0.549
2013,First Round,Memphis Grizzlies,Los Angeles Clippers,4.32,6.43,104.9,110.6,100.3,103.6,Memphis Grizzlies,27.0,28.8,56,56,26,26,54,59,28,23,4.15,6.45,0.18,-0.02,4.6,7.0,88.4,91.1,0.261,0.286,0.166,0.265,0.514,0.557
